name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,genre
Billie (loving arms),Billie (loving arms),Fred again..,8/31/2021,217265,55,0.0561,0.648,0.775,0,0.444,-4.798,0.0694,128.072,0.371,4,5,1,spotify:track:46E2xeKBLrxS8hJ37Gq35G,2021,edm
Free (with Ellie Goulding),Free (with Ellie Goulding),Calvin Harris,7/26/2024,212345,72,0.0526,0.467,0.98,0.223,0.0688,-5.515,0.0598,138.036,0.05,4,9,0,spotify:track:3NxB1jubUWY6zit9rOk8ZC,2024,edm
On My Mind,On My Mind,Diplo,12/13/2019,189268,56,0.00165,0.771,0.731,0.633,0.217,-6.574,0.0409,123.026,0.635,4,7,1,spotify:track:5lXY6PTuWXOludKy4zDQwM,2019,edm
Rumble,Rumble,Skrillex,1/4/2023,146571,61,0.0515,0.81,0.836,0.229,0.0598,-7.721,0.0645,139.979,0.0585,4,1,0,spotify:track:1GfBLbAhZUWdseuDqhocmn,2023,edm
San Frandisco,San Frandisco,Dom Dolla,9/20/2019,185000,60,0.0443,0.779,0.937,0.101,0.0912,-6.269,0.0496,125.025,0.49,4,9,0,spotify:track:3T00mhdOYUuM5yiuPs3xhs,2019,edm
VHS RAVE,VHS RAVE,Tiësto,9/6/2024,191250,68,0.0277,0.714,0.925,0.348,0.137,-6.119,0.0635,127.988,0.282,4,8,0,spotify:track:1zgs6QpTBuJ67TQvXMtp7L,2024,edm
Show Me Love - EDX Remix / Radio Edit,Show Me Love (Remixes 2),Sam Feldt,7/24/2015,180336,54,0.308,0.836,0.665,0.000925,0.0714,-5.779,0.0745,120.997,0.677,4,0,1,spotify:track:4bAmAVdks2Y84VNVVLXFwN,2015,edm
Drugs From Amsterdam,Drugs From Amsterdam,Mau P,9/16/2022,235785,70,0.0316,0.686,0.928,0.727,0.0576,-10.38,0.0527,124.986,0.631,4,8,1,spotify:track:0w7JPlp7eEQI2EKW3ayXrv,2022,edm
Eat Your Man (with Nelly Furtado),Eat Your Man (with Nelly Furtado),Dom Dolla,6/2/2023,197164,67,0.053,0.738,0.883,0.193,0.102,-7.989,0.0818,125.04,0.651,4,8,1,spotify:track:6Ea2oEzysv4UECGNxL1IEW,2023,edm
Jungle,Jungle,Fred again..,6/29/2022,198805,63,0.00984,0.665,0.727,0.394,0.172,-8.073,0.0391,133.922,0.397,4,1,0,spotify:track:31B7wLv4yvtjDoTTmbnxeE,2022,edm
Don't Stop,Don't Stop,Biscits,4/28/2023,170196,61,0.0541,0.824,0.608,0.241,0.0747,-8.51,0.0541,127.028,0.48,4,1,1,spotify:track:73Aj6vBOimEVHMMm67YmcU,2023,edm
Give It To Me - Full Vocal Mix,Give It To Me (Full Vocal Mix),Matt Sassari,10/22/2021,102860,82,0.00116,0.874,0.869,0.00238,0.164,-5.996,0.0315,126.027,0.726,4,1,0,spotify:track:5ZduaRci3iNUiDfJbBfAaf,2021,edm
Remember (feat. Stevie Appleton),Remember,Sonny Fodera,9/2/2022,199967,56,0.101,0.655,0.89,0.0149,0.488,-6.434,0.0611,127.979,0.328,4,5,0,spotify:track:5Cv9UBYh2VkiCspwh4Wog5,2022,edm
Sun Is Dark,Sun Is Dark,WILL K,3/31/2022,158709,67,0.108,0.78,0.583,0.731,0.124,-9.111,0.072,123.975,0.326,4,11,1,spotify:track:6Lmx1AyfNlmOVCW2Sxisnk,2022,edm
Temptation (feat. Poppy Baskcomb),Temptation (feat. Poppy Baskcomb),Jess Bays,2/18/2022,172197,64,0.0195,0.744,0.703,0.00449,0.141,-8.111,0.048,125.023,0.819,3,3,0,spotify:track:3fvsxmytTns1ApIWBqfANZ,2022,edm
The Calling,The Calling,Tchami,5/20/2022,197760,48,0.00806,0.748,0.872,0.159,0.252,-6.309,0.0628,124.99,0.363,4,6,1,spotify:track:4BSMp7GnQYmqPEkDKLCnOD,2022,edm
VIRUS - Odd Mob Remix,AUTONOMY (REMIXES),GEN.KLOUD,1/7/2021,184761,62,0.0135,0.824,0.756,0.00212,0.0941,-5.272,0.0646,125.967,0.407,4,1,1,spotify:track:0MyfdGptOUnUnGzJmiyCOG,2021,edm
What You've Done To Me (feat. Bemendé),What You've Done To Me (feat. Bemendé),KREAM,9/24/2021,166597,49,0.0137,0.7,0.911,0.65,0.163,-5.414,0.056,123.996,0.545,4,10,0,spotify:track:2k9kWgFLCiAeRBTmwlGbAv,2021,edm
Light,Light,Nu Aspect,5/15/2020,186131,65,0.00408,0.656,0.776,0.778,0.346,-9.445,0.0351,125.975,0.338,4,11,0,spotify:track:0JLiYHwL8CXEysiurWmdow,2020,edm
Losing Control,Losing Control,Odd Mob,9/15/2023,165335,59,0.0493,0.711,0.748,0.765,0.316,-6.524,0.0521,134.014,0.254,4,0,1,spotify:track:4LwxeWSBu0LQtEyGLb6FVP,2023,edm
Lost,Lost,RSCL,11/4/2022,153182,73,0.00185,0.672,0.868,0.492,0.244,-6.525,0.0412,126.03,0.491,4,11,0,spotify:track:5XFktAerFHxM4tp7EhzTrh,2022,edm
More Baby,More Baby,Chris Lake,9/15/2023,175856,61,0.00119,0.754,0.871,0.63,0.108,-7.006,0.0564,126.001,0.967,4,11,1,spotify:track:02QE4LsAj7DBjMRxolGE8a,2023,edm
My Humps,My Humps,Joshwa,10/29/2021,186124,60,0.0418,0.862,0.79,0.00615,0.0746,-8.412,0.0672,129.005,0.587,4,4,0,spotify:track:3BbD2sqk7P7Rc9V0KF9o4s,2021,edm
Number 1,Number 1,James Hype,7/21/2023,145200,59,0.129,0.707,0.969,0.876,0.0913,-5.181,0.0882,129.984,0.251,4,9,1,spotify:track:5HadIAY3Oray8VKuv3shgQ,2023,edm
Tell Me Why - MEDUZA Remix,Tell Me Why (MEDUZA Remix),Supermode,9/2/2022,171428,72,0.087,0.561,0.928,0.894,0.332,-5.812,0.0371,125.988,0.182,4,6,0,spotify:track:7jrMFjEq0t09f7m3HnnWXl,2022,edm
Touch Me - PAX & Rui Da Silva Version,Touch Me (PAX & Rui Da Silva Version),PAX,6/5/2020,205500,57,0.04,0.733,0.609,0.00451,0.0997,-9.426,0.0382,125.991,0.177,4,1,1,spotify:track:5zLVJErfsLzgmvJyR9ojBD,2020,edm
Upside Down,MEDUZA,MEDUZA,10/13/2023,174374,59,0.0182,0.55,0.856,0.754,0.0731,-6.829,0.037,127.965,0.0531,4,3,1,spotify:track:5KEve04JRDnfszpMRuhxZG,2023,edm
Beggin',Beggin',Chris Lake,4/20/2023,183397,70,0.161,0.801,0.691,0.298,0.119,-5.971,0.051,125.976,0.715,4,8,0,spotify:track:74nEGIzIefJhJ5qX7NeIAz,2023,edm
Electricity,Electricity,DubVision,8/19/2022,154285,56,0.0112,0.725,0.859,0.423,0.0831,-6.19,0.0542,125.969,0.4,4,6,1,spotify:track:0NNSpmyyr0I4lrMaXS8Tba,2022,edm
I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir),I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir),Oliver Heldens,5/6/2022,157205,66,0.0577,0.686,0.892,7.11E-06,0.0838,-3.186,0.0498,126.03,0.752,4,10,0,spotify:track:2LxdNADWier3MKTei8FbOY,2022,edm
Memories,Memories,Eden Prince,6/26/2020,149395,61,0.161,0.909,0.651,0.0437,0.0923,-5.672,0.105,124.026,0.895,4,11,0,spotify:track:6j4j6iRR0Ema531o5Yxr2T,2020,edm
Miracle (with Ellie Goulding) - Mau P Remix,Miracle (with Ellie Goulding) - Mau P Remix,Calvin Harris,4/21/2023,217734,58,0.00134,0.642,0.943,0.085,0.155,-6.87,0.0519,128.005,0.44,4,8,1,spotify:track:3lsiqFV6SKhBgzQCpuM1JR,2023,edm
Ray Of Solar,Ray Of Solar,Swedish House Mafia,8/4/2023,241793,67,0.0324,0.526,0.822,6.18E-06,0.143,-5.137,0.0493,134.991,0.0382,4,6,0,spotify:track:5Y2n6pW4Vqr4Mzkd9V4Uk8,2023,edm
Sweet Disposition - John Summit & Silver Panda Remix,Sweet Disposition (John Summit & Silver Panda Remix),The Temper Trap,1/26/2024,251904,70,0.0042,0.587,0.919,0.014,0.357,-4.679,0.0429,125.977,0.0745,4,11,0,spotify:track:6rGf5AsEaVskU0pO2ewcUL,2024,edm
WET,WET,Wax Motif,6/7/2019,265108,54,0.00118,0.802,0.668,0.783,0.048,-6.29,0.0535,125.007,0.2,4,1,1,spotify:track:7MysdJNLp89Xl3zoSd5bC5,2019,edm
What A Life (feat. Stevie Appleton),What A Life (feat. Stevie Appleton),John Summit,7/29/2022,171547,62,0.0113,0.677,0.732,0.227,0.0978,-5.028,0.031,126.018,0.242,4,7,0,spotify:track:587xXusqiMW9gSXkNK8Zxf,2022,edm
California Dreamin' (feat. High Jinx),California Dreamin' (feat. High Jinx),Chris Lorenzo,10/8/2021,196899,66,0.00552,0.685,0.911,0.0247,0.285,-4.977,0.144,128.02,0.351,4,9,1,spotify:track:4ASOMWcJUrwEpjJy4GEijz,2021,edm
Can’t Fight The Feeling,Can’t Fight The Feeling,Matroda,2/17/2023,171428,57,0.00505,0.781,0.902,0.0612,0.214,-4.988,0.0818,126.018,0.726,4,8,1,spotify:track:1T7fTFxkosqEF8AZzDvm6I,2023,edm
Escape - John Summit Remix,Escape (John Summit Remix),deadmau5,6/3/2022,226666,56,0.0009,0.631,0.84,0.0374,0.109,-5.768,0.0347,125.992,0.113,4,9,0,spotify:track:68lTEhMEx4MxDCJypT6bXE,2022,edm
Every Step,Every Step,D.O.D,6/25/2021,159857,65,0.0729,0.662,0.872,0.016,0.156,-4.874,0.0318,121.989,0.372,4,0,0,spotify:track:7me5d5XmtCCfbDk3SsyXqM,2021,edm
Human (feat. Echoes),Human (feat. Echoes),John Summit,11/24/2021,219047,62,0.00162,0.544,0.856,0.818,0.0763,-6.84,0.0314,125.992,0.233,4,5,0,spotify:track:4G4patpYxsF6ovHZOX9wgR,2021,edm
In The Yuma (feat. Aatig),In The Yuma (feat. Aatig),Chris Lake,11/11/2022,156215,64,0.000251,0.83,0.897,0.779,0.132,-4.796,0.0626,126.028,0.936,4,1,0,spotify:track:2e2yKavdT6WQzzMHwNtPFa,2022,edm
La Danza,La Danza,John Summit,3/11/2022,157619,66,0.00298,0.797,0.88,0.574,0.183,-5.722,0.0442,125.996,0.357,4,6,0,spotify:track:2FEUloDXMvRnyfLcsrCfkw,2022,edm
Make Me Feel,Make Me Feel,John Summit,3/26/2021,201904,60,0.0251,0.767,0.669,0.833,0.117,-9.151,0.0449,126.013,0.435,4,2,1,spotify:track:0RoGOiZUCQyqAZSPBSk75T,2021,edm
Turn off the Lights - Cages Remix,Turn off the Lights,Chris Lake,2/23/2018,208857,59,0.00324,0.667,0.839,0.00288,0.476,-6.677,0.0542,125.03,0.337,4,11,0,spotify:track:5JeBHduTGxXxytZFXBcIlB,2018,edm
Check Out,Check Out,J. Worra,11/5/2021,174138,70,0.00577,0.814,0.675,0.0818,0.0956,-6.761,0.042,125,0.776,4,10,0,spotify:track:2n6qz4opcJlHsEpI8030YM,2021,edm
Edge of Seventeen,Edge of Seventeen,Wuki,10/21/2022,164042,68,0.0324,0.708,0.909,0.527,0.08,-5.999,0.0476,127.997,0.351,4,5,0,spotify:track:5IFSvSEeCAvvBEQ85poqKB,2022,edm
Heal Me - Biscits Remix,Heal Me,FARR,10/9/2020,177142,64,0.0462,0.809,0.807,0.155,0.676,-6.491,0.115,126.031,0.635,4,4,0,spotify:track:1ld3ibWlGwo4oBFPb6pmKk,2020,edm
Lose Control,Lose Control,James Hype,5/12/2023,173437,68,0.0338,0.714,0.936,0.0239,0.244,-3.693,0.0426,128.011,0.243,4,9,1,spotify:track:3DLWVhaowApIGw1JnJj6GS,2023,edm
Take Me Away,Take Me Away,ACRAZE,3/3/2023,179528,57,0.000194,0.728,0.983,0.866,0.268,-4.098,0.077,126.039,0.744,4,11,0,spotify:track:1EXDjOpV3Lbiv8CzJ7caHs,2023,edm
Turn off the Lights,Turn off the Lights,Chris Lake,2/23/2018,210546,65,0.0467,0.825,0.745,3.19E-05,0.198,-5.49,0.0754,125.004,0.888,4,11,0,spotify:track:7dsImih2L25fa6qjNphBI7,2018,edm
You Give Me A Feeling,You Give Me A Feeling,Vintage Culture,11/12/2021,185896,68,0.259,0.761,0.867,0.615,0.0689,-6.168,0.0499,126.03,0.679,4,2,1,spotify:track:2qRKTg13LJGHO4fmQTWT7x,2021,edm
You Know You Like It - Tchami Remix,We Are Your Friends - Music From The Original Motion Picture,Various Artists,8/21/2015,304333,54,0.183,0.815,0.84,0.0843,0.0866,-4.331,0.107,122.988,0.587,4,5,0,spotify:track:0OpcI3rARLsNWgVbPdwHD9,2015,edm
Everything You Have Done,MEDUZA,MEDUZA,10/13/2023,156218,62,0.0464,0.679,0.935,0.21,0.198,-6.382,0.0594,124.993,0.477,4,2,1,spotify:track:44lgAk4wJN8ObrFSglxui5,2023,edm
Forget It,Forget It,Matroda,12/4/2020,173694,64,0.179,0.717,0.903,0.00532,0.192,-6.042,0.141,122.986,0.344,4,7,0,spotify:track:7nbuGxQ7TfJXb9OgH3xJEr,2020,edm
Miracle Maker,Miracle Maker,Dom Dolla,7/14/2022,188592,65,0.00124,0.609,0.94,0.269,0.15,-6.097,0.0617,128.001,0.238,4,10,1,spotify:track:6txvQu0zUbiqG24A8XMLnK,2022,edm
Push To Start (feat. No/Me),Push To Start (feat. No/Me),Noizu,2/24/2023,181875,64,0.00965,0.851,0.988,0.313,0.0639,-6.013,0.0588,128.017,0.671,4,1,0,spotify:track:6t4VHEcJ7Kek9pgGHlDp6R,2023,edm
Pump It Louder,DRIVE,Tiësto,4/21/2023,158571,62,0.00789,0.66,0.942,1.76E-05,0.834,-2.273,0.185,126.017,0.543,4,4,1,spotify:track:4PNKy9P3xrzqMwVzRjxBKt,2023,edm
Turn On The Lights again.. (feat. Future & Fred again..) - Anyma Remix,Turn On The Lights again.. (feat. Future & Fred again..) [Remixes],Swedish House Mafia,9/12/2022,253433,65,0.000833,0.683,0.825,0.727,0.232,-6.175,0.0424,126.023,0.0451,4,7,1,spotify:track:4ptnQ0kQnN1U1Ig8TSslj6,2022,edm
Dance No More (with Kaleena Zanders),Dance No More (with Kaleena Zanders),Sunday Scaries,8/25/2023,202657,58,0.0194,0.809,0.903,0.832,0.115,-5.122,0.166,127.015,0.796,4,10,0,spotify:track:7gDgphzQU0urJU3AtoLJup,2023,edm
See In Color,See In Color,Wax Motif,11/4/2022,154960,52,0.158,0.767,0.862,0.000477,0.174,-6.907,0.0435,127.028,0.548,4,10,0,spotify:track:2RxDAFchouApF3yUwE6gxE,2022,edm
Baby again..,USB,Fred again..,1/18/2022,319963,64,0.00355,0.847,0.724,0.00339,0.0731,-7.668,0.047,126.983,0.326,4,2,1,spotify:track:3yazrB5APUb26Mdwrri8t7,2022,edm
Pegasus,Pegasus,MEDUZA,2/7/2023,180533,63,0.0398,0.583,0.885,0.0447,0.297,-7.189,0.0396,125.047,0.382,4,5,0,spotify:track:6G0ldVNlhQf82Rf3pWjAyQ,2023,edm
The Music Began To Play,The Music Began To Play,Mark Knight,8/12/2022,145984,59,0.00151,0.738,0.936,0.707,0.617,-3.451,0.219,127.022,0.27,4,4,0,spotify:track:5jOhS3S7vTj9yQ4UmEk8qj,2022,edm
Drifting,Drifting,Tiësto,6/22/2023,147692,72,0.0718,0.625,0.951,0.585,0.164,-4.866,0.0393,130.001,0.376,4,9,0,spotify:track:4EmH2iRucAgCOnhuJRotUi,2023,edm
Once Again,Once Again,Dillon Francis,3/11/2022,160014,50,0.00446,0.725,0.883,0.761,0.248,-4.819,0.0642,126.033,0.0809,4,5,0,spotify:track:0FzqS9TaYAKwhjdIXfphtd,2022,edm
New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,Cracker Island (Deluxe),Gorillaz,2/27/2023,274141,54,0.012,0.716,0.897,0.262,0.325,-7.185,0.0629,127.03,0.358,4,4,0,spotify:track:49ozuucNvoHNstYChqEzPU,2023,edm
TECHNO + TEQUILA (feat. Morgan Harvill),TECHNO + TEQUILA (feat. Morgan Harvill),Disco Lines,5/13/2022,140952,51,0.0423,0.849,0.825,0.0366,0.146,-5.504,0.0498,126.071,0.567,4,2,1,spotify:track:1Tk7GuYDspyvq16jy2Tpwl,2022,edm
Be The One,Be The One,Eli Brown,3/31/2023,169852,70,0.0053,0.651,0.932,0.156,0.104,-5.074,0.0419,135.98,0.578,4,0,1,spotify:track:1cQld05IcUDw3RCFt7uymW,2023,edm
Lets Try It,Best of 2022,Night Bass,12/2/2022,167040,51,0.034,0.775,0.861,0.45,0.11,-5.906,0.0908,125.01,0.183,4,2,1,spotify:track:6cNgfzIce1Qu0b9sO0ibxn,2022,edm
Saving Up,Saving Up,Dom Dolla,10/6/2023,207514,72,0.00353,0.747,0.822,0.132,0.165,-6.373,0.0721,129.994,0.578,4,3,0,spotify:track:787Y2idwCU2Rk60Prv4wpr,2023,edm
Welcome To The People,Welcome To The People,JADED,9/10/2021,160669,65,0.123,0.716,0.917,0.396,0.0628,-5.091,0.0331,124.032,0.751,4,6,1,spotify:track:4O3APpGNhOldqDsPF8IaS5,2021,edm
Goodies,This Mixtape is Fire TOO,Dillon Francis,12/1/2023,121904,53,0.0176,0.838,0.866,0.0127,0.0932,-3.653,0.0402,126.017,0.675,4,5,0,spotify:track:4wOpEBvnIXTcC2ASM6J1dQ,2023,edm
Delilah (pull me out of this),Actual Life 3 (January 1 - September 9 2022),Fred again..,10/28/2022,250702,73,0.138,0.685,0.827,0.00207,0.374,-7.745,0.224,133.93,0.586,4,10,1,spotify:track:5w9upngVRHNjdZcRC7Xxr2,2022,edm
Make It Happen - Dom Dolla Remix,Surrender (Remixes),RÜFÜS DU SOL,8/12/2022,267168,49,0.00202,0.636,0.853,0.39,0.231,-8.321,0.0431,128.005,0.241,4,4,0,spotify:track:3zSjRyDLwVWIZXEFZB6nUF,2022,edm
Fine Day Anthem,Fine Day Anthem,Skrillex,7/7/2023,193690,65,0.000292,0.771,0.808,0.0671,0.0848,-3.842,0.0526,138.011,0.527,4,1,0,spotify:track:6tifCCTIVBLC2TmTquYG7G,2023,edm
The Parade,The Parade,Joel Corry,2/4/2022,158724,58,0.000755,0.793,0.886,0.878,0.296,-5.071,0.0445,124.04,0.285,4,10,0,spotify:track:0B3H6se7MYo3D7BmzfvdVN,2022,edm
Moola,"Made, Vol. 1 - Moola",Various Artists,2/19/2016,211445,21,0.00596,0.619,0.765,0,0.151,-5.803,0.0461,133.133,0.128,4,2,1,spotify:track:6lcJeZRz8g8Kl8ctm59jsT,2016,hip hop
Whatever She Wants,Whatever She Wants,Bryson Tiller,2/13/2024,161342,80,0.128,0.803,0.512,0,0.0928,-6.871,0.066,96.02,0.435,4,9,0,spotify:track:57wp7VFnV8X0pSVnYArGeJ,2024,hip hop
red sky,american dream,21 Savage,1/12/2024,176835,64,0.187,0.474,0.621,0,0.16,-8.253,0.103,114.314,0.396,4,7,0,spotify:track:4yLyVdEqV790aIXyGif85v,2024,hip hop
Fuck A Feature,Glockoma 2 (Deluxe),Key Glock,6/23/2023,159800,41,0.0144,0.714,0.8,0,0.65,-8.044,0.212,142.964,0.534,4,8,0,spotify:track:44YW897f9GUWuoqgxakxTM,2023,hip hop
Lord Pretty Flacko Jodye 2 (LPFJ2),AT.LONG.LAST.A$AP,A$AP Rocky,5/26/2015,126960,74,0.0123,0.485,0.72,0,0.0546,-5.991,0.127,207.982,0.0471,4,6,1,spotify:track:1j6kDJttn6wbVyMaM42Nxm,2015,hip hop
Over,Thank Me Later,Drake,1/1/2010,233560,66,0.0107,0.35,0.845,0,0.123,-5.614,0.2,99.643,0.45,5,7,1,spotify:track:6BdgtqiV3oXNqBikezwdvC,2010,hip hop
Don't Sweat The Technique,Don't Sweat The Technique,Eric B. & Rakim,6/23/1992,262800,58,0.00556,0.737,0.89,0.00171,0.0801,-8.443,0.158,105.848,0.809,4,4,1,spotify:track:48ZUwXrEOhaXLCxvmRYhZv,1992,hip hop
Light It Up,So Much Fun,Young Thug,8/16/2019,209253,51,0.00389,0.953,0.515,0,0.11,-8.546,0.0846,138.039,0.351,4,10,1,spotify:track:41mzryVlFLlz6b1BCtJAjx,2019,hip hop
Mannequin Challenge (feat. Juice WRLD),So Much Fun,Young Thug,8/16/2019,162400,57,0.0899,0.857,0.583,0,0.204,-7.466,0.086,132.01,0.443,4,1,0,spotify:track:5TnLXSd4h6G06Fbt2ApOpa,2019,hip hop
Millions,So Much Fun (Deluxe),Young Thug,12/20/2019,157520,55,0.00236,0.942,0.531,0.000106,0.0812,-7.51,0.215,99.027,0.74,4,1,1,spotify:track:43YQDj1KOPMFAUcTEPKy4p,2019,hip hop
"Corte Madera, CA",Spaceships on the Blade,Larry June,8/19/2022,102775,55,0.245,0.59,0.735,0,0.274,-6.542,0.402,150.827,0.804,4,4,0,spotify:track:1JczBx5oXAnPBtmGeW3Aik,2022,hip hop
Lifestyle (with Bas feat. A$AP Ferg),D-Day: A Gangsta Grillz Mixtape,Dreamville,3/31/2022,166775,47,0.12,0.832,0.7,0,0.239,-6.005,0.0491,145.937,0.586,4,0,0,spotify:track:0URbdJpIV9B54W2d9yeMwt,2022,hip hop
MY EYES,UTOPIA,Travis Scott,7/28/2023,251249,83,0.651,0.455,0.621,2.59E-06,0.123,-7.694,0.0517,119.043,0.28,4,0,0,spotify:track:4kjI1gwQZRKNDkw1nI475M,2023,hip hop
Lovin On Me,Lovin On Me,Jack Harlow,11/10/2023,138411,81,0.0026,0.943,0.558,2.19E-06,0.0937,-4.911,0.0568,104.983,0.606,4,2,1,spotify:track:4xhsWYTOGcal8zt0J161CU,2023,hip hop
SAY MY GRACE (feat. Travis Scott),SET IT OFF,Offset,10/13/2023,173253,71,0.0648,0.772,0.631,0,0.129,-5.082,0.0431,121.854,0.433,4,10,1,spotify:track:2Gk6fi0dqt91NKvlzGsmm7,2023,hip hop
Topanga,A Love Letter To You 3,Trippie Redd,11/9/2018,215364,66,0.00583,0.753,0.616,1.77E-06,0.109,-8.245,0.0495,105.952,0.0388,4,4,1,spotify:track:1Am3fwJi1NF1sD2McZfVWi,2018,hip hop
Johnny Dang (with Paul Wall & DRODi),Lonestar Luchador,That Mexican OT,7/28/2023,192000,70,0.389,0.971,0.695,0,0.107,-5.253,0.125,119.971,0.696,4,10,0,spotify:track:6XEt23sq6sRgER8sSZbCR5,2023,hip hop
guidance,Birds In The Trap Sing McKnight,Travis Scott,9/16/2016,207107,55,0.0609,0.702,0.753,1.38E-06,0.41,-2.943,0.24,139.98,0.453,4,11,1,spotify:track:2c2csx4OTYtbkzvbSTXlGY,2016,hip hop
Flocky Flocky (feat. Travis Scott),Life of a DON,Don Toliver,10/8/2021,183513,62,0.0252,0.8,0.541,0,0.146,-5.05,0.0375,135.99,0.194,4,10,0,spotify:track:25r6MZ4Gtd76l43qnZI1DG,2021,hip hop
HOP OUT THE VAN,SET IT OFF,Offset,10/13/2023,120240,45,0.0164,0.908,0.795,0.00725,0.263,-4.039,0.0441,128.951,0.308,4,1,1,spotify:track:6Ez0uo35BcJ7TaknGDnH5v,2023,hip hop
Spiral,Spiral,21 Savage,4/30/2021,173400,54,0.00161,0.814,0.659,0.0254,0.499,-4.475,0.0811,88.521,0.13,4,2,1,spotify:track:2YMCSqTmBTtcYA8dyUCvbT,2021,hip hop
1942 (feat. Yo Gotti & YBN Nahmir),1942 (feat. Yo Gotti & YBN Nahmir),G-Eazy,4/13/2018,213080,54,0.0152,0.817,0.646,0,0.125,-5.12,0.249,162.898,0.835,4,4,0,spotify:track:794QVQtFNy7hvtjQP1keQd,2018,hip hop
BUTTERFLY EFFECT,ASTROWORLD,Travis Scott,8/3/2018,190557,83,0.0531,0.763,0.628,0,0.114,-5.85,0.05,140.958,0.193,4,11,1,spotify:track:2cYqizR4lgvp4Qu6IQ3qGN,2018,hip hop
Bent,Bent,41,8/4/2023,170267,65,0.401,0.861,0.617,0,0.402,-7.381,0.291,124.053,0.258,4,2,1,spotify:track:6ulEymrJ2Azx1uo3YHSE5w,2023,hip hop
Hoodie (feat. BSlime & Lil Gotit),BUSINESS IS BUSINESS,Young Thug,6/23/2023,215600,43,0.000431,0.506,0.598,0,0.105,-8.476,0.415,169.717,0.222,4,1,1,spotify:track:6tCmZiMZDwAYSfjnArGG48,2023,hip hop
Young Harleezy,Come Home The Kids Miss You,Jack Harlow,5/6/2022,224841,47,0.00882,0.841,0.566,0,0.0635,-5.501,0.289,95.941,0.269,4,4,0,spotify:track:4CuZSJLlmUrEfcXUm6pQk9,2022,hip hop
Crunk Ain't Dead,Crunk Ain't Dead,Duke Deuce,12/9/2019,113149,54,0.0397,0.767,0.931,0,0.182,-1.472,0.269,145.938,0.474,4,11,0,spotify:track:4RsTfAuTiUyL7GKGPiNC0w,2019,hip hop
FRANCE FREESTYLE,DIE FOR MY BITCH,Baby Keem,7/19/2019,145792,49,0.0015,0.929,0.484,0,0.108,-6.997,0.261,139.991,0.277,4,2,1,spotify:track:0KLvDgrhFKo6k1ZSHiv5v3,2019,hip hop
YSL (feat. Playboi Carti),Drip Season 2,Gunna,5/11/2017,156143,51,0.106,0.788,0.611,0,0.261,-8.442,0.349,81.586,0.565,4,11,1,spotify:track:6DXUcykWTq6sRARrOAE2Lc,2017,hip hop
Where Ya At (feat. Drake),DS2 - Deluxe,Future,7/17/2015,208026,63,0.0933,0.813,0.453,0,0.14,-6.941,0.338,161.997,0.191,4,1,1,spotify:track:5nN8BwAQDJDguq7Dpd3JQQ,2015,hip hop
IDGAF (feat. Yeat),For All The Dogs,Drake,10/6/2023,260111,78,0.0466,0.673,0.672,0.000284,0.193,-8.577,0.224,136.902,0.14,4,8,1,spotify:track:2YSzYUF3jWqb9YP9VXmpjE,2023,hip hop
SkeeYee,Hood Hottest Princess,Sexyy Red,6/9/2023,157125,69,0.0251,0.771,0.689,0,0.645,-5.022,0.0682,82.503,0.65,4,1,1,spotify:track:7icwQvajsokotDfM3tefW6,2023,hip hop
gun smoke,i am > i was,21 Savage,12/21/2018,167410,51,0.000832,0.809,0.461,4.43E-05,0.143,-5.677,0.0907,85.992,0.325,4,10,0,spotify:track:4f1XXGjZZ9EkFkrbPJek6X,2018,hip hop
Pull Up (feat. NAV),International Artist,A Boogie Wit da Hoodie,6/20/2018,193575,40,0.484,0.828,0.37,0,0.119,-7.441,0.26,149.964,0.549,4,7,0,spotify:track:0WnV4YotgHecDIzfihlcjn,2018,hip hop
IRATE (Freestyle),IRATE (Freestyle),ICECOLDBISHOP,9/5/2019,123050,13,0.185,0.776,0.73,4.66E-06,0.12,-6.724,0.683,75.218,0.304,4,10,0,spotify:track:6aLXisnZNrrWUX0IQLKM3s,2019,hip hop
letstalkaboutit,KAYTRAMINÉ,KAYTRAMINÉ,5/19/2023,166994,55,0.0866,0.767,0.78,0,0.125,-4.768,0.189,112.08,0.555,4,8,1,spotify:track:0Z4oNNgJKK9VcuSw1L5Cb4,2023,hip hop
ATM,KOD,J. Cole,4/20/2018,216726,57,0.115,0.772,0.498,0,0.0898,-7.661,0.649,81.817,0.351,4,8,1,spotify:track:2UciqgwVDwro0fev3MFbxJ,2018,hip hop
SLIDE FOR ME,Loose,Jack Harlow,8/17/2018,184109,33,0.0288,0.68,0.694,0,0.196,-7.299,0.104,146.014,0.58,4,11,1,spotify:track:2qQaKDFsY2GuYUandZdgiC,2018,hip hop
No Pole,Love Sick (Deluxe),Don Toliver,2/28/2023,187613,73,0.0714,0.328,0.631,0,0.567,-5.169,0.0465,85.262,0.382,4,5,0,spotify:track:0eaVIYo2zeOaGJeqZ5TwYz,2023,hip hop
