name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,genre
demons,PRETENDER,raph,6/21/2024,137593,20,0.395,0.716,0.673,0.00943,0.209,-5.813,0.0362,133.031,0.703,4,7,1,spotify:track:3I08ezvRmnMJU1gBacqcBY,2024,r&b
reminders,PRETENDER,raph,6/21/2024,162962,40,0.862,0.447,0.487,3.08E-05,0.147,-8.44,0.0357,80.765,0.401,4,2,1,spotify:track:0wpneVuGq1Fb5BRsCVyRm7,2024,r&b
summer,summer,raph,12/9/2022,132483,56,0.471,0.483,0.61,0.0109,0.283,-7.609,0.0303,91.976,0.384,4,9,1,spotify:track:4osRLDg7abL4hLdfZ1c39g,2022,r&b
catching feelings,catching feelings,raph,1/14/2022,145969,41,0.333,0.681,0.554,0.0181,0.132,-8.859,0.108,162.085,0.537,4,3,1,spotify:track:4XnAK0b5Usi1lrd6oVKH3P,2022,r&b
Good Care,Good Care,HYBS,1/27/2023,194550,54,0.867,0.77,0.526,0.143,0.103,-8.167,0.0477,149.973,0.741,4,11,0,spotify:track:1argqjqP7b6GjGfAGiBlF8,2023,r&b
Dopamine,Dopamine,BINA.,12/7/2023,180000,44,0.21,0.558,0.575,0.000189,0.147,-8.184,0.219,160.076,0.654,5,1,1,spotify:track:68sYvkcTeyHm9ODeTRHad4,2023,r&b
Lying To You,All For You,Amaria,4/28/2023,238571,48,0.252,0.727,0.456,0.121,0.0884,-9.324,0.0564,84.018,0.783,4,10,0,spotify:track:67ngp6fHtPNrUGuGu4cvcm,2023,r&b
American Boy,Shine,Estelle,3/28/2008,284733,77,0.171,0.693,0.729,0,0.07,-2.99,0.378,117.848,0.521,4,0,1,spotify:track:6etwirSInfuJrSOlogS6Sh,2008,r&b
Too Good,Borderline,Christian Kuria,1/29/2020,277500,58,0.232,0.69,0.406,1.88E-06,0.145,-9.41,0.106,160.14,0.507,4,5,0,spotify:track:3GP7l2bmXT6T2FNAzERwBr,2020,r&b
universe,i hope u see this,thủy,10/29/2021,186627,63,0.136,0.636,0.452,1.97E-06,0.104,-8.298,0.0329,80.004,0.0678,4,11,1,spotify:track:7B4UxdHwRKJYRhvXxmgZhM,2021,r&b
If You Let Me,Sunbeam,Alina Baraz,9/24/2021,135346,60,0.556,0.604,0.683,0.449,0.147,-8.612,0.0434,138.078,0.457,4,5,1,spotify:track:2BfxLAYgetcxiyXJA7ItoF,2021,r&b
close with desires (feat. thuy),close with desires (feat. thuy),teo glacier,9/1/2023,205750,54,0.298,0.4,0.57,0,0.109,-6.437,0.0952,70.742,0.238,3,11,0,spotify:track:40mxgmFEtNKcgKRiiHmlHf,2023,r&b
My Luv (feat. Bibi Bourelly),My Luv (feat. Bibi Bourelly),RINI,2/10/2023,152238,52,0.129,0.612,0.432,8.46E-05,0.117,-7.214,0.0331,139.904,0.213,4,7,1,spotify:track:5nrzA4GIsgS1wdwY3q7cnt,2023,r&b
HARD KNOCK LULLABY,HARD KNOCK LULLABY,Noah Guy,7/30/2021,153600,52,0.77,0.665,0.427,0.00297,0.11,-7.621,0.0325,75.051,0.103,4,4,1,spotify:track:5nAXbVukFLJ2Wd795L1kwS,2021,r&b
