Song Name,mfccs_mean_0,mfccs_std_0,mfccs_mean_1,mfccs_std_1,mfccs_mean_2,mfccs_std_2,mfccs_mean_3,mfccs_std_3,mfccs_mean_4,mfccs_std_4,mfccs_mean_5,mfccs_std_5,mfccs_mean_6,mfccs_std_6,mfccs_mean_7,mfccs_std_7,mfccs_mean_8,mfccs_std_8,mfccs_mean_9,mfccs_std_9,mfccs_mean_10,mfccs_std_10,mfccs_mean_11,mfccs_std_11,mfccs_mean_12,mfccs_std_12,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
(I Can't Get No) Satisfaction - Mono Version,-24.432459,74.122246,85.89074,19.380487,-43.266342,15.654043,47.12926,11.42054,-4.81625,8.666858,13.348276,6.8257914,4.2468357,7.1556706,13.036511,6.994347,-4.738242,7.2453394,9.86534,6.998995,-4.7883086,6.0868254,3.1240845,5.5827246,-4.2786536,5.5202103,0.35897928,0.3637123,0.4890189,0.43216544,0.5565731,0.4316195,0.46444303,0.3826942,0.5080125,0.6251336,0.38455653,0.48229682,0.25329837,0.24192952,0.2815037,0.23244445,0.29316485,0.23643605,0.25304344,0.24001588,0.2618466,0.29492015,0.19776298,0.2787561,Out Of Our Heads,The Rolling Stones,1965-07-30,222813,76,0.0383,0.723,0.863,0.0317,0.128,-7.89,0.0338,136.302,0.931,4,2,1,spotify:track:2PzU4IB8Dr6mxV3lHuaG34,1965
...Baby One More Time,-67.302,99.12173,78.93029,33.10516,-3.4262776,23.040184,13.052613,18.157341,-2.951625,14.21568,6.2648654,14.830044,-2.6536496,11.6321125,-2.1071699,11.625077,-2.0054739,11.145717,1.5789522,9.837446,-7.558112,9.211117,1.4977312,8.049722,-2.7783015,7.885774,0.49659047,0.36399963,0.45744467,0.42368692,0.2806769,0.30397788,0.34795964,0.5008496,0.3139623,0.27423552,0.39223614,0.3933885,0.35279056,0.26093575,0.2998896,0.30676427,0.23636842,0.2868439,0.26638082,0.33086005,0.2614055,0.23832792,0.31738418,0.27370924,...Baby One More Time (Digital Deluxe Version),Britney Spears,1999-01-12,211066,81,0.202,0.759,0.699,0.000131,0.443,-5.745,0.0307,92.96,0.907,4,0,0,spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,1999
1 On 1 - Dubscribe Remix,39.19929,119.315056,69.571434,36.065292,-14.421921,27.218529,10.206625,16.949871,4.8078837,12.5078335,7.4901857,11.136203,3.1259553,11.92193,10.814452,11.080213,-2.3219342,9.755829,12.984372,9.953379,0.15842183,8.374556,5.0212026,8.733118,2.7221959,8.092235,0.54091674,0.47928032,0.50053453,0.57636064,0.64961594,0.65129095,0.5829987,0.54592925,0.54609853,0.5472986,0.5373438,0.53376937,0.25892717,0.2446052,0.25481203,0.27039787,0.26763794,0.26427752,0.26394442,0.26765996,0.26861554,0.27356312,0.26435682,0.24826324,Lost Lands 2019 Compilation,Excision,2019-12-06,208000,16,0.00224,0.493,0.974,4.41e-06,0.585,-0.177,0.0842,75.02,0.31,4,9,1,spotify:track:4BOU7r7rOXjkX1BEVf8ZVa,2019
10 Freaky Girls (with 21 Savage),-169.13326,96.59636,125.63031,43.476746,7.6569877,33.494232,16.599009,20.562874,12.553646,19.237865,-3.2583313,16.86444,-6.572033,13.626516,2.7723315,15.738536,-13.579206,14.275521,2.7663815,13.078726,-2.0318165,13.3687,-3.394038,10.66257,2.9534545,11.88584,0.39474112,0.50981295,0.45936424,0.42894435,0.45232973,0.45483136,0.50644463,0.3954529,0.4472526,0.4226993,0.3809062,0.43183842,0.26514512,0.3132921,0.31503338,0.29576838,0.31849566,0.3148672,0.32640612,0.28853658,0.32040426,0.31179255,0.24871172,0.3078587,NOT ALL HEROES WEAR CAPES (Deluxe),Metro Boomin,2018-11-06,208293,73,0.59,0.797,0.353,0.0,0.102,-9.931,0.369,87.997,0.0731,4,6,0,spotify:track:0AluA5RNsa4Cx6XRhf2hWZ,2018
100 Ways,-92.69417,96.835175,103.58713,39.169704,15.759145,23.936386,12.531462,16.949621,7.3352413,14.325512,8.797131,11.706844,-3.972942,15.547791,7.962814,11.565876,1.5686853,10.01002,1.0365766,10.745807,2.2284672,9.541339,4.3657255,9.446851,-0.25456747,9.226121,0.44304156,0.31829965,0.34060803,0.28302985,0.3898148,0.30047816,0.29245988,0.35296237,0.38178203,0.46322343,0.3618947,0.4390957,0.3330795,0.2654474,0.32965755,0.2451605,0.34810337,0.2800586,0.28135085,0.3192075,0.29265717,0.37242907,0.26745948,0.3118294,100 Ways,Jackson Wang,2020-03-20,168626,6,0.325,0.801,0.783,0.0,0.285,-7.08,0.241,109.955,0.613,4,7,1,spotify:track:4mQMvcRtQou5yI8mjuJ1lf,2020
1942 (feat. Yo Gotti & YBN Nahmir),-66.32593,100.40335,76.554245,36.546764,17.703108,34.716564,24.115696,21.527924,9.007591,19.232662,10.308461,14.81785,-2.269135,15.619279,8.350235,12.943112,1.3449165,11.389671,6.248276,12.226354,3.5327044,10.857497,12.52632,11.207524,1.678476,8.583449,0.5205574,0.55842084,0.62829626,0.51990366,0.49403316,0.45100856,0.49996048,0.4952601,0.40108457,0.38656867,0.43031597,0.49279496,0.3124781,0.25107092,0.29746446,0.27776527,0.28621724,0.27372906,0.2903661,0.3020371,0.2759668,0.2681638,0.25992146,0.30076796,1942 (feat. Yo Gotti & YBN Nahmir),G-Eazy,2018-04-13,213080,54,0.0152,0.817,0.646,0.0,0.125,-5.12,0.249,162.898,0.835,4,4,0,spotify:track:794QVQtFNy7hvtjQP1keQd,2018
1979 - Remastered 2012,-97.98177,114.72384,86.33099,35.247025,18.212856,20.298666,36.963562,14.465947,8.40154,11.5453615,11.092553,9.310579,2.394548,9.658402,5.0043745,7.567308,0.21332249,7.5139704,4.975647,7.1288795,-2.4738023,6.9986286,0.46512046,6.912835,-7.4281645,6.6513615,0.2755303,0.27953842,0.506462,0.64700675,0.45199808,0.38244957,0.3326906,0.45041606,0.5018207,0.44310534,0.40036106,0.25547588,0.22682023,0.20367545,0.29630026,0.3192863,0.22276379,0.3047029,0.23451433,0.2928645,0.3515836,0.27586088,0.29302084,0.19598374,Mellon Collie And The Infinite Sadness (Deluxe Edition),The Smashing Pumpkins,1995,266200,77,0.0163,0.767,0.787,0.583,0.0513,-9.897,0.0331,126.879,0.964,4,3,1,spotify:track:5QLHGv0DfpeXLNFo7SFEy1,1995
2 soon,-86.08248,91.01937,92.1727,39.604683,28.163507,26.360744,14.497379,16.756838,10.386829,15.806331,8.681226,13.74455,-4.980237,11.951651,9.916889,12.413359,-4.3590703,10.994232,13.286911,12.122645,-2.511961,9.706554,-4.1097846,10.438568,-9.355301,11.537756,0.31633827,0.348932,0.24718751,0.3752977,0.53852427,0.38163814,0.40538627,0.30068696,0.4150517,0.45753208,0.3494989,0.44100595,0.26294026,0.32388607,0.21042264,0.26970568,0.35647362,0.25653446,0.3462201,0.2434545,0.28792703,0.3446418,0.25317746,0.35040244,2 soon,keshi,2018-08-21,206511,67,0.146,0.516,0.663,0.0,0.322,-6.688,0.0377,174.025,0.146,4,6,0,spotify:track:5SlU0Yhi51jobhEiGE4xDv,2018
2 Things,-55.320137,84.8685,97.954414,45.954895,2.8058944,31.157755,8.866991,21.413378,-2.3951523,19.78159,4.043797,19.989801,-0.18279064,12.907521,4.4834332,14.743873,-6.64286,13.9474745,8.732455,11.863225,-3.084805,10.531982,3.302073,9.248773,-1.782712,9.506803,0.37046283,0.46491176,0.30454218,0.37085927,0.4681227,0.3474766,0.27543494,0.33129573,0.5791158,0.48539686,0.3596259,0.40173277,0.28526112,0.3416305,0.24021398,0.292901,0.3367987,0.28755373,0.25134832,0.26595613,0.33685276,0.3179273,0.28514186,0.3329108,2 Things,Don Diablo,2022-09-30,191250,42,0.0702,0.685,0.813,0.0327,0.218,-5.163,0.0387,127.994,0.165,4,9,1,spotify:track:23YAweZPLgWqOTJdpvSv1O,2022
2020,-135.1253,137.68388,110.45734,55.98486,15.301519,42.41115,32.510727,21.361244,12.904259,17.348927,11.381793,12.824421,5.0242157,10.467625,7.836856,10.300221,3.6952822,9.5336,7.043149,8.204373,2.9270315,8.034134,3.7792435,7.5493565,1.9006411,6.6504207,0.5426213,0.4929845,0.42991465,0.43692487,0.4926788,0.66842335,0.61977,0.49542853,0.48708275,0.5015756,0.4403434,0.44819605,0.34512535,0.30200484,0.26481032,0.2728504,0.26099542,0.30927894,0.28722474,0.2591007,0.2768324,0.29122463,0.28251022,0.30341312,The Remedy Vol. 2,Dr. Fresch,2020-02-19,192000,0,0.0849,0.829,0.607,0.334,0.0969,-6.109,0.0912,100.024,0.121,4,0,1,spotify:track:3xFWiDR3gVECOoLn7Fb32L,2020
21,-85.795715,98.32091,88.79022,41.748486,1.180704,24.884245,14.261534,19.103014,5.2687793,15.749215,6.335393,13.771791,-3.5274048,13.95567,1.9623902,12.652377,-0.71139824,10.813402,0.93235195,12.05182,-0.49232325,10.484915,3.5958085,10.553348,-6.130495,9.377504,0.33472368,0.42637712,0.33708566,0.30653763,0.39240932,0.3387967,0.44268158,0.3116142,0.354476,0.3797367,0.3073749,0.38394588,0.2823158,0.3407824,0.30818993,0.26192322,0.3317827,0.265137,0.35933197,0.27282777,0.30114794,0.33579874,0.26268822,0.33730787,130 Mood : TRBL,DEAN,2016-03-25,207129,55,0.18,0.686,0.73,0.0,0.341,-5.673,0.153,109.93,0.576,4,6,0,spotify:track:2jiI8bNSDu7UxTtDCOqh3L,2016
21 Guns,-90.72075,132.14526,88.2487,30.516851,-10.290106,17.567873,30.232138,15.139975,5.2104783,12.973391,9.267124,10.657931,-1.8406441,8.558348,2.154859,8.022236,-5.146367,8.185651,2.6737819,8.254168,1.4670616,7.002004,-0.21414132,7.052839,-4.7744336,6.3869333,0.4485854,0.31570807,0.40028638,0.28078943,0.4064209,0.4847068,0.3172968,0.39759272,0.2862061,0.37921965,0.32092044,0.32728407,0.34682164,0.21818258,0.33385247,0.23457624,0.30008718,0.3575888,0.22985277,0.3471389,0.23391667,0.31181172,0.29570547,0.24476223,Greatest Hits: God's Favorite Band,Green Day,2017-11-17,322040,38,0.048,0.26,0.719,0.0,0.454,-4.765,0.0364,159.072,0.419,4,5,1,spotify:track:4pu474fFUC7hgBBIf2W0S8,2017
22 (Taylor's Version),-49.457928,92.322784,52.194073,27.392288,-0.2856318,19.655424,20.455011,15.816262,9.29091,11.903792,8.380451,13.55941,9.224232,11.648586,9.867908,10.718825,4.5339446,9.861612,7.554917,9.38313,-4.78635,9.386009,3.9838688,8.595668,-1.3336227,8.788538,0.40912905,0.42549822,0.5344209,0.3738869,0.33150312,0.29016668,0.36603642,0.49438837,0.34990922,0.4544144,0.39389098,0.5430834,0.2952848,0.2760647,0.32366252,0.2669394,0.2815518,0.26012114,0.25998417,0.34488213,0.24082907,0.3301636,0.24514009,0.33860487,Red (Taylor's Version),Taylor Swift,2021-11-12,230960,61,0.000443,0.642,0.695,1.02e-05,0.0753,-5.62,0.0281,103.984,0.642,4,7,1,spotify:track:2T9WeqSMJJb8YBDHPYGU4p,2021
3:15 (Breathe),-121.72726,109.851715,85.12827,42.61968,15.181993,29.327705,13.679306,15.214491,-3.329884,15.930448,3.2094731,14.365316,-8.975151,11.813172,-11.853089,13.374201,-5.777236,9.868304,-8.28368,10.397245,-8.6728325,9.705305,-1.2632608,9.137498,-4.6539097,11.292667,0.41350257,0.27730814,0.19740638,0.25652167,0.19354433,0.34378415,0.1858774,0.27647147,0.42640933,0.26201135,0.34596828,0.28484237,0.37794584,0.29859403,0.22996871,0.3101317,0.19199552,0.37266186,0.20262648,0.26266426,0.37199593,0.23387034,0.35649225,0.272388,3:15 (Breathe),Russ,2021-05-21,184000,76,0.591,0.451,0.627,0.00958,0.118,-4.59,0.127,74.69,0.77,4,8,1,spotify:track:0dGqP4VickYjtIaB5VOt4H,2021
34+35,-94.261765,112.85298,55.09893,32.54823,16.469551,30.243351,18.188946,21.25986,7.171966,15.283413,-1.6351799,19.033985,7.0914736,13.61304,-3.1827898,16.354044,10.2368,14.669828,4.4394956,14.031213,-13.949452,13.020515,0.5115982,11.173194,-4.761481,12.2155905,0.4205864,0.31058148,0.31621504,0.2690455,0.29665196,0.35623524,0.3099021,0.47006202,0.36909622,0.4565876,0.3268834,0.32522202,0.36172444,0.2657384,0.314321,0.27616274,0.28217438,0.34885973,0.25871888,0.37650248,0.28826392,0.35707474,0.28578955,0.27236176,Positions,Ariana Grande,2020-10-30,173710,74,0.237,0.83,0.585,0.0,0.248,-6.476,0.094,109.978,0.485,4,0,1,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,2020
360,-114.30454,108.19246,112.197845,47.803276,9.261323,28.690847,15.201981,22.968674,2.6621118,15.483,2.5099063,15.163757,4.954263,11.984581,-5.0431023,12.841841,0.8792409,10.443335,-1.6877897,10.771635,-6.859816,9.29396,-4.3848825,9.846857,-6.33917,9.271146,0.6005039,0.35052297,0.32253566,0.31438443,0.40682086,0.38423544,0.36593786,0.47220606,0.381998,0.40790892,0.33340418,0.47730792,0.34591043,0.21940811,0.28910798,0.25207004,0.3499281,0.3377074,0.27697408,0.34399062,0.29790726,0.35565567,0.26776543,0.30196872,BRAT,Charli xcx,2024-06-07,133805,81,0.646,0.857,0.62,0.244,0.0934,-8.13,0.0472,120.042,0.796,4,0,1,spotify:track:4w2GLmK2wnioVnb5CPQeex,2024
3AM in Oakland (Lo’ N Slo’),-238.07822,77.2485,201.21658,43.153454,1.9580753,47.26771,15.116434,25.714226,19.925081,22.311113,9.165769,14.826872,0.5131079,14.336573,-9.544404,15.540488,-1.5984055,11.082871,-2.51117,13.365179,-7.5251613,13.607079,-7.6449003,11.750731,-4.9737563,10.293827,0.3515542,0.2764309,0.33800247,0.39909902,0.6766122,0.43100595,0.3087698,0.36186814,0.32566506,0.38629848,0.26273015,0.35541362,0.29045066,0.24225475,0.30463412,0.24102062,0.3430146,0.29378942,0.25236723,0.31085512,0.25105748,0.32291052,0.19830059,0.26785773,3AM in Oakland (Lo’ N Slo’),Karri,2023-02-24,115272,42,0.975,0.448,0.196,0.872,0.111,-15.192,0.138,122.737,0.0821,4,2,1,spotify:track:36V2kXMts2l8HlDhBaM2Co,2023
3D (feat. Jack Harlow),-34.9347,89.172195,50.850227,35.121017,19.236168,23.757421,20.281895,20.535889,13.201746,16.610525,7.2882695,14.820912,1.5592704,13.510323,7.681479,12.820019,-1.4958475,12.000453,5.5438657,11.737178,-1.2765398,10.464298,0.95118403,9.628911,-1.2651474,9.24203,0.596879,0.4269856,0.37215838,0.3879871,0.40020663,0.41706842,0.38339326,0.4767326,0.40591782,0.3522938,0.41506127,0.45571217,0.34096897,0.28748393,0.28691646,0.29276016,0.28899097,0.32133693,0.26547503,0.30479366,0.29973796,0.26653922,0.31318787,0.2826863,3D (feat. Jack Harlow),Jung Kook,2023-09-29,201812,78,0.0322,0.853,0.824,0.0,0.0859,-3.287,0.103,108.044,0.888,4,1,1,spotify:track:6ehWdR7cGDXnT7aKEASJxE,2023
44 (Forget Forever),-103.93634,151.23824,87.174446,37.379925,19.283018,35.146984,10.460633,14.484495,3.774815,14.664514,6.3397436,12.554748,-4.9610004,11.28798,1.1037202,9.452839,-3.222662,9.330449,4.1385345,9.00936,-0.74923015,8.308314,3.9137635,7.9011183,-3.1635294,7.2226887,0.4532433,0.27715778,0.3118358,0.24821551,0.43455127,0.51750964,0.2901371,0.37140992,0.34372088,0.4580412,0.3218917,0.33173603,0.34429255,0.22127892,0.30108377,0.21041329,0.31728122,0.3414442,0.20472838,0.32598835,0.25229606,0.34287438,0.26353377,0.26577762,4444,WOOSUNG,2024-10-04,313866,52,0.0353,0.551,0.718,0.000119,0.0896,-7.744,0.0361,130.028,0.136,4,5,1,spotify:track:1gB4AZdHNk7jawrX5M7tEm,2024
500lbs,-52.37518,65.53553,96.672356,39.23046,16.958576,30.185966,-0.48226902,19.456203,2.586342,18.134886,3.4908462,17.800982,0.323261,14.652155,8.073526,15.232866,-6.2529316,12.776438,4.5352182,12.879202,-3.3308284,11.27385,5.7957883,9.857752,-0.38195634,9.727015,0.4397207,0.35728157,0.5799366,0.47418714,0.45230585,0.44664517,0.41064936,0.5454577,0.40101436,0.46137998,0.5057908,0.3705039,0.3122432,0.22013168,0.315431,0.2843193,0.29805875,0.3110266,0.272228,0.31559563,0.2826157,0.30084234,0.30027112,0.24224012,TEC,Lil Tecca,2023-09-22,144390,78,0.098,0.724,0.779,0.0,0.127,-5.412,0.0807,123.013,0.53,4,7,0,spotify:track:6rjuKpPydT2SxN15TZpV7r,2023
679 (feat. Remy Boyz),-65.819565,83.31075,66.02288,41.35842,-9.631216,32.96824,18.49751,24.943272,18.887003,19.381754,8.538255,16.477049,-4.8650303,14.838262,10.469152,13.457401,-0.16379197,13.157967,8.870387,11.659907,1.1065722,11.816077,5.4942203,10.569058,4.702658,9.954105,0.42020142,0.44939813,0.5147138,0.43783808,0.45666716,0.3941286,0.4432039,0.42426604,0.47321486,0.46978015,0.42123637,0.46304926,0.3083831,0.3026413,0.34070092,0.28796074,0.31197697,0.27186725,0.317294,0.31148237,0.32555965,0.3117992,0.28584492,0.31986555,679 (feat. Remy Boyz),Fetty Wap,2015-06-29,196693,72,0.00256,0.618,0.717,0.0,0.625,-5.738,0.318,190.05,0.603,4,7,1,spotify:track:5NQbUaeTEOGdD6hHcre0dZ,2015
7 rings,-166.09247,114.815994,86.489334,35.947426,18.87774,29.648668,15.174903,20.74536,4.786093,17.123495,-2.6081824,19.678667,5.5285277,16.53268,-10.595039,18.715834,4.255792,15.206966,-1.968759,13.713577,-10.216388,13.813729,2.8888378,11.788154,-4.898212,12.363185,0.3347694,0.4508079,0.26959586,0.3003051,0.33273292,0.26863045,0.34972763,0.36715612,0.52563244,0.42625874,0.3116456,0.28283328,0.28854772,0.36774886,0.2436026,0.29649678,0.3277449,0.27542937,0.36239552,0.30312395,0.37772393,0.358161,0.30122048,0.29596722,"thank u, next",Ariana Grande,2019-02-08,178626,82,0.591,0.777,0.317,0.0,0.0881,-10.732,0.308,139.848,0.33,4,1,0,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,2019
7HEAVEN,14.72769,83.91742,56.77536,24.113272,-0.23612635,19.60492,16.565226,17.01083,8.715422,11.780071,5.3824244,12.914439,3.4275846,10.593737,7.651212,10.793443,4.097071,9.766612,8.032709,9.700287,-3.3529603,10.086523,7.2074466,9.205519,1.584321,8.318044,0.3714909,0.4499502,0.48015788,0.383794,0.43673888,0.3610656,0.44957227,0.3399829,0.38134038,0.49997818,0.40796787,0.5095242,0.25310367,0.29140985,0.32147115,0.256263,0.31672516,0.25450763,0.314744,0.25220618,0.260277,0.32331827,0.24586622,0.32792467,FESTA,PURPLE KISS,2023-09-05,208320,37,0.00171,0.682,0.941,0.0,0.525,-1.431,0.0934,114.996,0.753,4,11,0,spotify:track:3ZvaNnxZATJ4bA41Vkbssc,2023
Action! (Feat. GRAY),-39.80022,87.14248,93.25314,45.39154,-1.6654353,28.195677,13.20457,20.995728,10.944352,18.452833,4.335589,15.137213,-3.247364,13.813025,1.6953933,13.415118,-3.1770346,11.927292,0.13458835,12.209929,-4.3068986,11.925042,4.0590715,10.60448,-3.6954396,10.129806,0.36183894,0.39228165,0.34957868,0.41444287,0.40931118,0.38865808,0.43225372,0.41007262,0.51037264,0.3836359,0.35041827,0.37104273,0.27799672,0.30556095,0.26750895,0.29924175,0.29296875,0.29004166,0.31861824,0.2873142,0.34335628,0.2816249,0.28798965,0.3004823,Action!,DPR LIVE,2018-03-13,190812,45,0.16,0.681,0.785,0.0,0.582,-4.165,0.105,103.084,0.933,4,1,0,spotify:track:3IW5rhsRBxstifAnjQyUI9,2018
Addicted,-55.4434,113.86501,104.05918,48.50587,8.4190855,27.056276,24.542675,18.787418,4.656719,13.909343,4.987861,14.377268,4.006186,12.392174,5.8184285,10.926546,3.3704515,11.639368,6.000498,9.08984,4.9035997,10.759458,6.2568083,8.925732,0.54827213,9.053267,0.44825822,0.47144118,0.57614046,0.54992545,0.5292237,0.49797896,0.43215898,0.48357558,0.45539522,0.57268083,0.57430303,0.4539363,0.2749261,0.25077367,0.2952262,0.28224775,0.26833722,0.2745526,0.22816628,0.31176326,0.2532362,0.28204933,0.29234257,0.25339696,Addicted,One True God,2020-07-03,162711,44,0.0181,0.725,0.868,0.359,0.0687,-2.537,0.0364,117.994,0.0624,4,2,1,spotify:track:2nCL4jSUB2iLfySrjVTWgj,2020
After All - Habstrakt Remix,-38.412983,106.606445,73.07008,44.762154,-12.70572,34.007954,27.03788,17.345465,0.50934845,15.057726,12.732613,14.002056,2.4463189,12.16638,9.517641,10.889726,3.6301527,9.2598505,6.1353846,10.509012,1.4997922,8.980107,3.602011,9.467962,-2.9227693,7.992736,0.5819664,0.47612092,0.4805352,0.46736258,0.49963668,0.59327185,0.50596684,0.53856564,0.5712851,0.5409457,0.5634967,0.4930912,0.29903036,0.24095719,0.2561053,0.27237573,0.2756222,0.31874278,0.29457352,0.2835707,0.28637072,0.28270012,0.296764,0.26766804,After All (Remixes),SLANDER,2016-12-19,217500,15,0.00326,0.726,0.972,0.502,0.346,-3.615,0.119,128.005,0.168,4,1,1,spotify:track:5OhKV5ymsUcEUgvH5YWIX5,2016
After All,-75.37055,135.12213,71.778496,49.944347,-4.514831,23.416649,16.586346,16.726114,0.7072399,13.124651,2.0120265,12.558097,-8.028085,12.015561,1.1526146,10.902347,-3.9477623,13.27713,-4.544101,19.219612,-2.9579964,16.583248,-1.3125731,16.43742,-5.5342393,11.139809,0.427055,0.34134114,0.32169458,0.3613634,0.4406881,0.56906193,0.40949923,0.45999247,0.47801495,0.37301904,0.38454175,0.3072786,0.32325774,0.263839,0.25623173,0.28496292,0.30563092,0.35534048,0.29860488,0.3202338,0.30861962,0.24573083,0.31374666,0.2316703,After All,SLANDER,2016-10-26,205042,30,0.384,0.605,0.912,0.00164,0.295,-4.666,0.36,160.041,0.399,4,5,0,spotify:track:4EIg7iPo8PYxxUqugqxZoD,2016
After You (feat. Calle Lehmann),-26.605843,99.85644,85.786606,28.371477,6.5464053,20.587101,12.799987,13.155394,1.0769929,10.654137,3.8032558,10.230153,0.4132233,8.053828,5.4249763,9.024186,-3.7821374,9.023847,5.638,8.226455,0.096906155,8.054438,3.4513018,8.061325,-4.508483,8.298357,0.25038555,0.33515534,0.25010505,0.473591,0.64813447,0.30590963,0.32228345,0.23393127,0.38308015,0.24665369,0.26322106,0.3557736,0.20353849,0.3183813,0.20220415,0.28966013,0.34012324,0.20133854,0.30742887,0.18961816,0.33133474,0.2474368,0.23236795,0.28236094,After You (feat. Calle Lehmann),Gryffin,2021-10-27,224569,47,0.0619,0.511,0.804,0.0,0.0873,-3.808,0.0433,145.055,0.484,4,4,1,spotify:track:6DiogHhtwkVgUHUDUJVuXV,2021
Afterlife,-96.21368,138.77545,85.30604,44.1665,-9.531473,33.704754,19.828281,19.84582,7.705182,15.870496,12.100462,13.6875515,0.002848717,14.600158,5.2983522,11.9873085,-2.297262,11.364161,3.3349545,10.506967,-2.2761176,9.753263,0.92411786,9.839811,-3.8191485,7.517233,0.5693775,0.44252867,0.3887429,0.44869766,0.500356,0.6285226,0.4873814,0.4822001,0.5118923,0.5191435,0.44314405,0.4374791,0.2986685,0.2560723,0.2656843,0.2706779,0.27675185,0.33474493,0.26195297,0.28460833,0.26883677,0.28843683,0.26572663,0.26271766,Afterlife,Drezo,2019-05-24,290800,35,0.00347,0.656,0.84,0.682,0.105,-3.538,0.472,127.997,0.123,4,5,0,spotify:track:0jikyVLBULYGLZqApj4KuA,2019
Ain't About You (feat. Kiiara),-79.07355,98.24681,67.49784,39.874485,25.755543,28.357784,19.978197,19.649668,2.4737985,14.879615,2.871281,15.773244,-1.0638165,13.031159,-3.00943,12.432609,-2.1063485,10.615762,1.7427443,10.602559,-2.8443513,10.286463,-0.34923795,10.228135,-5.139487,10.748072,0.4025739,0.38025984,0.49831057,0.4096175,0.28017387,0.32424903,0.30506107,0.367392,0.31374925,0.36481354,0.4131552,0.3320589,0.35720587,0.2890264,0.35661864,0.32081342,0.24630304,0.30804822,0.25796148,0.32121378,0.26655617,0.30037335,0.33424118,0.26979408,Love Synonym #2 : Right for Us,WONHO,2021-02-26,204333,0,0.42,0.781,0.593,0.0,0.317,-7.65,0.18,110.033,0.926,4,7,0,spotify:track:2RyUmXSGz9CinAwnM2gDjd,2021
Alibi (Far Out Remix),-34.667683,89.61944,70.69167,35.249775,-5.2832417,21.82619,10.140758,14.435862,3.0211868,12.093867,5.323813,13.54582,2.9706151,10.3792305,3.6343534,12.046834,-0.6951073,9.856861,3.2360148,9.516012,-2.7846153,9.418435,3.3811145,9.389653,-1.5548933,10.39243,0.51698565,0.33557642,0.43902645,0.2707699,0.27214858,0.36304855,0.29454032,0.46576574,0.2878004,0.37307808,0.46280274,0.33723438,0.36940488,0.22404733,0.34295106,0.23041645,0.24444154,0.31964085,0.2225604,0.33006722,0.22857364,0.28749847,0.32662022,0.22444554,Alibi & Runaway (Remixes),Krewella,2018-06-19,219553,44,0.134,0.602,0.758,0.0,0.0853,-5.261,0.068,99.896,0.156,4,7,0,spotify:track:144VylfhBHydi2xvqy9yw6,2018
ALIEN PARTY,-86.552795,102.72519,61.342014,48.13025,-18.587994,32.912395,15.260174,23.092913,-2.313835,17.79713,2.8941681,19.83318,-7.4547763,15.840713,-1.4680698,15.872312,-7.239372,15.550031,3.0781112,11.165902,-2.6375344,12.0662775,1.0435115,10.142787,-5.418552,10.814626,0.35306722,0.51722264,0.38143244,0.40871742,0.49245703,0.5048717,0.70423675,0.55936986,0.50006735,0.45714676,0.42086965,0.39331144,0.23383199,0.3048616,0.24537878,0.2682597,0.3113083,0.28032896,0.30832747,0.29890203,0.3283077,0.32996136,0.268507,0.2679377,ALIEN PARTY,Party Favor,2020-04-30,248023,30,0.00686,0.425,0.684,0.00219,0.103,-6.868,0.161,94.976,0.166,4,11,1,spotify:track:08KH0aATukXCmhQNPAp5ZB,2020
Alive (Acoustic),-156.29723,99.33875,134.33658,41.132694,18.37817,24.07593,25.380693,18.22976,5.663066,11.462204,3.080194,11.581048,3.5019593,10.480605,-3.6062129,11.116397,-0.76434714,8.887237,-0.24513052,8.619791,-9.739269,9.203663,-4.4326124,8.050353,-7.399582,7.515632,0.19615771,0.30177248,0.19275995,0.24537297,0.4408306,0.25696784,0.20497449,0.14359199,0.3176494,0.55378294,0.28291276,0.32719135,0.17795874,0.3394169,0.21166573,0.20158865,0.35577232,0.21642376,0.2537962,0.16238354,0.23495291,0.39933527,0.18218435,0.3723945,Alive (Acoustic),Dabin,2020-07-29,350000,0,0.848,0.341,0.258,3.79e-05,0.0859,-10.288,0.0333,139.661,0.188,4,9,1,spotify:track:0KRW5KQM2dVwCrJS0d3zxh,2020
