Song Name,mfccs_mean_0,mfccs_std_0,mfccs_mean_1,mfccs_std_1,mfccs_mean_2,mfccs_std_2,mfccs_mean_3,mfccs_std_3,mfccs_mean_4,mfccs_std_4,mfccs_mean_5,mfccs_std_5,mfccs_mean_6,mfccs_std_6,mfccs_mean_7,mfccs_std_7,mfccs_mean_8,mfccs_std_8,mfccs_mean_9,mfccs_std_9,mfccs_mean_10,mfccs_std_10,mfccs_mean_11,mfccs_std_11,mfccs_mean_12,mfccs_std_12,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
Villain,-164.41768,112.01318,87.58039,37.735966,7.365746,26.216402,10.627136,20.928474,1.1826106,15.908506,1.8762399,17.551394,-1.967902,13.687511,-7.121131,14.158234,2.4513113,13.37412,-9.823812,13.434196,-7.8431044,9.998373,-4.0612445,11.375355,-9.776685,11.858902,0.33127177,0.24370097,0.32168266,0.31750974,0.383382,0.23271248,0.19097432,0.23538367,0.27019063,0.38287172,0.26884708,0.2993682,0.33631346,0.25223815,0.3506339,0.3038912,0.361258,0.26332968,0.2495367,0.2907574,0.2723628,0.38321376,0.2648311,0.3036019,STELLA I,Stella Jang,2020-04-07,191000,56,0.664,0.95,0.406,0.0,0.0932,-8.89,0.0559,108.976,0.671,4,9,0,spotify:track:5xouIycayHmjZxeuhXPhgX,2020
VIRUS - Odd Mob Remix,-67.948555,86.584595,78.88592,47.10692,1.4211321,27.054115,26.143568,18.243868,1.1729513,14.858911,11.874217,15.706707,4.6981606,13.227602,5.8768888,14.677602,3.3759978,11.489566,7.962049,11.83236,-1.7104375,10.9181,7.0550175,9.769035,0.21827571,10.186057,0.4300458,0.45696208,0.36929166,0.4203766,0.35488498,0.46274814,0.53843385,0.4344722,0.50249255,0.46722454,0.5901807,0.4159232,0.31543845,0.31779942,0.26851007,0.31554556,0.26100495,0.2880285,0.3167169,0.2545235,0.3242345,0.28158948,0.32491392,0.2902987,AUTONOMY (REMIXES),GEN.KLOUD,2021-01-07,184761,62,0.0135,0.824,0.756,0.00212,0.0941,-5.272,0.0646,125.967,0.407,4,1,1,spotify:track:0MyfdGptOUnUnGzJmiyCOG,2021
Visionaries (Remix),-63.337074,117.59369,88.424706,45.56308,-7.7019835,24.874746,23.105375,21.26007,2.0062943,14.169547,6.138145,13.578327,-1.4761523,11.284298,4.101476,11.695591,-2.391303,9.524862,3.5255089,8.330848,-1.8511183,8.891264,0.13514788,10.250178,-4.8574142,9.356625,0.495093,0.31936398,0.33386472,0.34122396,0.56259155,0.4103918,0.3585976,0.47860056,0.37873557,0.48943,0.34628358,0.48048928,0.31658944,0.23827249,0.29338467,0.24248283,0.3319855,0.31870407,0.26429787,0.3294112,0.2514444,0.3363768,0.23324248,0.31231546,Visionaries (Remix),INZO,2018-04-03,254400,23,0.0212,0.489,0.902,9.14e-05,0.62,-5.712,0.113,99.941,0.0566,4,0,1,spotify:track:5qQnvgiQ1waxpmzVxlsjJS,2018
Volcano Girls,14.2715645,76.40452,52.295444,28.101973,-11.8098135,14.159122,39.322033,13.250027,3.9437368,9.950486,10.563224,8.482585,2.3469932,7.9328275,9.171091,6.756403,3.1248844,7.270263,2.3140874,6.943622,-1.9874276,6.8024464,4.029446,6.592269,-3.5073988,6.270461,0.42145383,0.42976084,0.47127983,0.48439935,0.5110107,0.40006736,0.43515435,0.3344518,0.36643103,0.50774646,0.48542285,0.54697835,0.26228896,0.26072446,0.30136168,0.28278536,0.3281906,0.2577276,0.29103696,0.23190507,0.22736669,0.30209213,0.25540245,0.32837877,Eight Arms To Hold You,Veruca Salt,1997-01-01,198933,52,0.000789,0.543,0.961,1.29e-06,0.431,-2.749,0.0373,131.463,0.567,4,4,1,spotify:track:3cMliO9emUSa4d1Ap2MbfW,1997
Wait (feat. A Boogie Wit da Hoodie),-70.75735,106.25005,79.85564,38.570038,9.66715,23.166445,15.378591,22.575426,-0.75265527,16.417591,8.512436,14.370443,-2.8759472,13.663013,2.5029836,13.144086,-3.1946263,11.819842,3.2793288,11.134747,-3.7988837,10.491609,0.40941122,10.820948,-5.735088,10.5891905,0.37567362,0.27517718,0.2810648,0.39403835,0.28462413,0.32810107,0.25990933,0.36513397,0.62271094,0.4210166,0.4502171,0.32386518,0.33265832,0.28139284,0.27353105,0.3293068,0.2475842,0.3190235,0.23552667,0.24436195,0.35163882,0.25508973,0.3391284,0.2526526,Wait (feat. A Boogie Wit da Hoodie),Maroon 5,2018-01-26,190476,42,0.0628,0.707,0.608,0.0,0.118,-4.514,0.0548,126.121,0.414,4,8,1,spotify:track:0SvxydoxEEkXt9aMAqTfpB,2018
Wait,-46.46175,111.6294,77.757805,52.10112,7.603715,24.018578,25.197325,15.923531,7.8350773,13.084345,6.3343477,12.720655,1.9617614,10.592308,6.522357,10.192236,2.6619096,9.8833475,2.5330105,8.865123,-0.02528958,8.844125,4.2922444,9.014753,-0.10079141,11.175588,0.36195308,0.31306174,0.5449994,0.4285321,0.32397777,0.52342004,0.33222017,0.33433592,0.28166702,0.44248363,0.664386,0.38263896,0.28799534,0.2128103,0.32328895,0.27561036,0.20636825,0.3025584,0.19559963,0.26282883,0.20377806,0.26563802,0.3234744,0.21430917,Wait,MitiS,2020-04-03,284689,0,0.0593,0.467,0.625,3.99e-05,0.121,-5.932,0.0417,145.014,0.118,4,10,1,spotify:track:5l9KtWJtZKMUE1Xgc51dcU,2020
Wait Another Day,-50.6049,96.2038,79.1008,51.2541,-5.1516833,23.880379,29.862255,17.076992,5.801889,12.948612,5.808451,15.596638,-3.9680092,11.30772,-1.7205604,12.766795,-8.387155,12.435291,3.8971705,10.354116,-3.2743566,10.832116,1.693141,9.423083,-1.0709145,7.961302,0.3372132,0.32242802,0.30053255,0.43344882,0.2734903,0.25303262,0.35615072,0.38388363,0.5729413,0.3717214,0.40197912,0.46922055,0.25402638,0.31293407,0.24679485,0.32127568,0.24600793,0.22344628,0.30920085,0.26244825,0.37490213,0.26643416,0.30529803,0.34687567,Wait Another Day,Mike Williams,2018-12-07,179217,52,0.0272,0.727,0.912,0.000443,0.118,-3.594,0.0377,126.023,0.671,4,8,0,spotify:track:7qZOnik9K8Mv987ccBjwwj,2018
Wake Me Up,-41.117554,90.627266,76.593155,33.732796,-6.5534883,23.406303,17.26735,18.113588,8.025451,13.156826,9.551183,12.669394,-1.6941925,14.193429,6.4371424,11.080338,-7.505013,11.111259,3.3312843,11.066193,-3.1375446,9.596312,0.26012796,9.950068,1.9771988,9.607679,0.29198322,0.38325036,0.5134956,0.29296088,0.29236662,0.29327953,0.5197096,0.36510375,0.35048372,0.5261498,0.3597321,0.43986306,0.22356942,0.2572445,0.34687454,0.20944032,0.26704493,0.19719715,0.31268638,0.27596143,0.24537306,0.32386768,0.22333507,0.34076107,True,Avicii,2013-01-01,247426,83,0.0038,0.532,0.783,0.0012,0.161,-5.697,0.0523,124.08,0.643,4,2,1,spotify:track:0nrRP2bk19rLc0orkWPQk2,2013
Wake Me Up,-41.117554,90.627266,76.593155,33.732796,-6.5534883,23.406303,17.26735,18.113588,8.025451,13.156826,9.551183,12.669394,-1.6941925,14.193429,6.4371424,11.080338,-7.505013,11.111259,3.3312843,11.066193,-3.1375446,9.596312,0.26012796,9.950068,1.9771988,9.607679,0.29198322,0.38325036,0.5134956,0.29296088,0.29236662,0.29327953,0.5197096,0.36510375,0.35048372,0.5261498,0.3597321,0.43986306,0.22356942,0.2572445,0.34687454,0.20944032,0.26704493,0.19719715,0.31268638,0.27596143,0.24537306,0.32386768,0.22333507,0.34076107,True,Avicii,2013-09-13,247426,7,0.0038,0.532,0.783,0.0012,0.161,-5.697,0.0523,124.08,0.643,4,2,1,spotify:track:4h8VwCb1MTGoLKueQ1WgbD,2013
Wake Me up When September Ends,-69.025826,129.05353,87.558266,36.747,-1.2035415,19.973883,32.121803,13.9563875,-0.17261605,11.687462,9.26975,10.228365,-3.3861368,10.870159,5.509273,8.249429,-0.16235639,7.8746524,3.691054,8.613607,-7.6704044,8.643593,0.49089018,9.292289,-1.8988172,7.366761,0.28339186,0.2669658,0.45287538,0.24575481,0.24866271,0.2150106,0.42276537,0.6012059,0.34566858,0.33930245,0.24419782,0.34107313,0.28355297,0.21942537,0.35270914,0.18953623,0.2778801,0.18832314,0.29537067,0.3643336,0.2290061,0.29555508,0.21000233,0.31290546,American Idiot,Green Day,2004-09-21,285653,78,0.023,0.546,0.814,0.0,0.0972,-5.146,0.0314,104.98,0.146,4,7,1,spotify:track:3ZffCQKLFLUvYM59XKLbVm,2004
Wake Up - 12th Planet Remix,26.38499,99.44272,54.285347,24.734764,1.211929,19.01479,9.993088,18.90388,-4.4287877,13.059277,5.969463,10.50237,2.1238267,10.477171,9.02671,9.21785,-1.8987061,10.407338,6.6841397,11.195788,1.6117145,9.172195,5.683654,9.402476,-2.4946134,9.982861,0.4008145,0.44704968,0.45042327,0.54594713,0.455689,0.5459621,0.5695348,0.40657705,0.44276097,0.41969573,0.47518712,0.42504936,0.26978633,0.28916207,0.27469644,0.3157193,0.27899027,0.29877713,0.3142711,0.2650143,0.32390735,0.2858509,0.2866263,0.28231534,Apex: The Remixes,Excision,2019-07-23,268800,26,0.000971,0.423,0.945,0.0311,0.096,-0.659,0.0693,150.357,0.0646,4,3,0,spotify:track:1VNLIw5MHZNyCQ7CJPcBUJ,2019
Wake Up,-17.18728,99.81601,70.34434,42.529114,2.295599,18.645567,14.632427,13.192839,7.210797,12.120263,11.345628,12.688054,3.7718527,11.691816,9.08649,12.225334,3.5732298,12.2366495,10.199261,10.334395,4.609651,9.691353,6.757872,9.322123,0.723592,8.365977,0.41146427,0.40686476,0.46741185,0.44082615,0.4425462,0.48181057,0.46575835,0.5394918,0.5241448,0.56810623,0.53927183,0.4327767,0.2901628,0.26275095,0.29863533,0.27093852,0.2789768,0.3045474,0.27364546,0.32661813,0.33106458,0.3205007,0.30370706,0.26473808,Wake Up,Kayzo,2017-01-31,316420,44,0.00102,0.624,0.939,0.00559,0.131,-2.449,0.071,160.014,0.391,4,7,1,spotify:track:1DegLHuaZdLmOvhUgsNV9I,2017
Walk,-14.945204,101.16543,86.50119,28.599018,-16.060709,17.842098,28.441732,13.260601,2.605364,9.869462,14.407355,10.248758,6.0590234,8.906407,13.598866,6.939148,6.26163,7.546616,3.6493046,6.8167725,1.913317,7.0532827,4.8558784,7.6127257,-0.9171698,6.399656,0.4148996,0.40433815,0.40855628,0.4062406,0.5404941,0.43239284,0.42696542,0.37656635,0.44407156,0.59846735,0.44226545,0.49686715,0.2751978,0.2618975,0.2946863,0.23575228,0.30897996,0.25914946,0.28800982,0.2719365,0.24483855,0.31466892,0.2218619,0.2999813,Wasting Light,Foo Fighters,2011-04-12,255960,65,3.62e-05,0.234,0.865,0.000532,0.289,-5.131,0.0516,137.107,0.194,4,9,1,spotify:track:76Je5Wklky23mVoxiRszcN,2011
Walk This Way,-80.355,85.66838,87.91457,28.402029,-9.932595,23.100355,33.32655,17.734428,0.33607787,11.035312,8.960597,8.890591,0.34545588,8.249391,13.549913,7.4582043,3.3242085,8.820357,4.8964014,7.8171053,-5.604464,7.2218776,0.6657149,6.816508,-1.363571,6.540542,0.5198993,0.37047997,0.33121264,0.37251538,0.44598,0.45408818,0.41901305,0.43407494,0.39216638,0.46394154,0.4953736,0.5115518,0.31375048,0.23241112,0.2299015,0.2568902,0.29274336,0.28217313,0.27716413,0.29172,0.25055584,0.30848983,0.28874606,0.28000116,Toys In The Attic,Aerosmith,1975-04-08,220310,73,0.0115,0.653,0.73,1.02e-05,0.0776,-10.613,0.0429,108.709,0.894,4,5,1,spotify:track:4JfuiOWlWCkjP6OKurHjSn,1975
