Song Name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,mfccs_mean_0,mfccs_std_0,mfccs_mean_1,mfccs_std_1,mfccs_mean_2,mfccs_std_2,mfccs_mean_3,mfccs_std_3,mfccs_mean_4,mfccs_std_4,mfccs_mean_5,mfccs_std_5,mfccs_mean_6,mfccs_std_6,mfccs_mean_7,mfccs_std_7,mfccs_mean_8,mfccs_std_8,mfccs_mean_9,mfccs_std_9,mfccs_mean_10,mfccs_std_10,mfccs_mean_11,mfccs_std_11,mfccs_mean_12,mfccs_std_12
Day That I Died,Day That I Died,WOOSUNG,8/28/2024,207293,58,0.817,0.416,0.327,0.0,0.0814,-7.309,0.0296,82.066,0.262,4,8,0,spotify:track:4p6MZZx5zusaVnlzclH8Ut,2024,0.22558905,0.25792426,0.21391538,0.38812965,0.23094796,0.14752801,0.26018855,0.26071772,0.28922608,0.20771436,0.29326642,0.36078584,0.21988457,0.33224162,0.21561128,0.3826903,0.28284702,0.18925759,0.3123799,0.26337263,0.3500539,0.23643492,0.28558174,0.36355206,-104.47416,118.250435,105.87461,49.180943,29.730677,21.187822,7.121222,15.086426,11.3178215,13.035338,9.176576,10.253701,-5.0451245,12.171794,-1.7881155,10.522885,-1.4663708,10.794691,-0.2869616,9.92069,-3.877552,9.48779,-3.286509,8.936587,-3.2394412,9.433695
Daylight,Daylight,JAIE,8/2/2019,239307,0,0.544,0.688,0.237,1.8e-05,0.155,-14.109,0.0408,129.968,0.183,4,9,1,spotify:track:1wcKxD2fwxu0yK5SGqVJNo,2019,0.34464803,0.37055078,0.31832248,0.37487194,0.4146859,0.29926127,0.35867336,0.33817217,0.47118947,0.37949356,0.30374342,0.34461015,0.30610073,0.32090345,0.28931013,0.31808683,0.34760588,0.2679255,0.34146622,0.26794305,0.35825068,0.32197127,0.25987694,0.30893514,-197.7634,87.81571,117.29377,41.167156,18.511333,27.81999,21.241829,24.69778,20.117735,18.552452,3.749074,16.793402,-1.9645442,14.972029,0.31591815,15.017364,-2.069916,12.796192,4.2771072,12.4178295,-4.7277017,13.919847,-2.2039914,11.846969,-1.1890213,10.405852
DEAD MAN WALKING,WASTELAND,Brent Faiyaz,7/8/2022,247079,71,0.303,0.51,0.272,0.0,0.0958,-13.763,0.0557,143.984,0.435,4,9,0,spotify:track:2c2tlXfEmLgUNvxngIi1qL,2022,0.36637023,0.23153031,0.26830024,0.31447625,0.44449884,0.36320272,0.27936932,0.35253444,0.33296096,0.37189555,0.2577923,0.381483,0.3392254,0.2663081,0.27764928,0.29430792,0.34769425,0.33529636,0.25394988,0.31115347,0.28725076,0.35292444,0.25364703,0.35055196,-212.30042,114.46657,71.7063,42.593933,-1.7786325,25.371223,18.72384,17.467804,3.9819767,14.867012,2.449682,14.868729,-0.2452918,12.873022,0.5939255,13.422834,-0.70698893,13.277139,3.8304276,11.971524,-5.207241,11.376473,2.0813231,9.872032,-1.9850817,11.603387
Dead or Alive,TEC,Lil Tecca,9/22/2023,122487,60,0.000412,0.667,0.774,0.0,0.122,-5.008,0.0473,144.999,0.407,4,0,1,spotify:track:5itTZ7kNRBl65Nn1QO9Ax9,2023,0.42941433,0.37814516,0.42416304,0.5206847,0.6621366,0.61521316,0.64524186,0.60399836,0.55099124,0.5642411,0.47965422,0.5408114,0.2740746,0.24226615,0.246893,0.26343864,0.31475234,0.31951243,0.30503243,0.2888409,0.28812352,0.30601844,0.23726115,0.2986137,-71.53752,127.17127,73.976906,36.821716,21.570164,25.339283,16.151907,17.093304,6.7175045,13.46846,10.431727,13.272035,4.0648293,10.741899,13.535133,13.102194,1.9221672,10.501035,14.795561,10.786281,2.3607183,8.914333,9.602601,8.503355,5.1863317,8.37288
Deep,Last Day Of Summer,Summer Walker,10/19/2018,92093,71,0.626,0.646,0.335,1.3e-05,0.107,-9.915,0.247,167.927,0.419,4,3,0,spotify:track:3LfHBTYZBTqmz43tvVXJBd,2018,0.23598675,0.28238955,0.2915322,0.40124407,0.34428748,0.34667537,0.41116384,0.4013726,0.57269937,0.44430906,0.40759477,0.30978504,0.21779332,0.29288855,0.253328,0.33875227,0.31113523,0.33101675,0.32297105,0.26695836,0.37344384,0.30958068,0.32399207,0.26159653,-172.87282,102.29786,113.7933,42.428802,31.468906,32.436504,27.774252,22.696127,8.896697,19.200525,2.745651,19.016998,10.495402,16.600899,-4.600247,17.246485,5.1631656,12.673778,3.4429932,13.7033825,-4.5221677,12.481197,0.75132746,12.301954,-7.197588,10.601482
Delilah (pull me out of this),Actual Life 3 (January 1 - September 9 2022),Fred again..,10/28/2022,250702,73,0.138,0.685,0.827,0.00207,0.374,-7.745,0.224,133.93,0.586,4,10,1,spotify:track:5w9upngVRHNjdZcRC7Xxr2,2022,0.43186283,0.36522222,0.52365535,0.37056527,0.31507775,0.40761223,0.32606092,0.4070811,0.3249981,0.4683943,0.5458578,0.38149515,0.35042727,0.25800943,0.35204354,0.29679552,0.2682682,0.31612825,0.23807432,0.30826744,0.26391298,0.3059432,0.33514816,0.2640373,-94.352776,106.15631,85.01867,37.506027,-15.983201,31.319962,9.280883,21.21434,-13.33966,19.203966,-2.264822,21.620111,-12.631519,15.072183,-3.590327,14.6988125,-12.260307,13.347938,-4.387418,12.470515,-12.444263,12.908961,-8.5961075,13.706548,-7.520875,11.780985
demons,PRETENDER,raph,6/21/2024,137593,20,0.395,0.716,0.673,0.00943,0.209,-5.813,0.0362,133.031,0.703,4,7,1,spotify:track:3I08ezvRmnMJU1gBacqcBY,2024,0.27237803,0.2687319,0.43276134,0.28285852,0.31651768,0.24324489,0.3734009,0.5925096,0.36969534,0.41387737,0.3154259,0.3580321,0.26152217,0.22525018,0.33521587,0.22569971,0.30636978,0.23385909,0.27298397,0.3694362,0.23471104,0.35400784,0.26297018,0.32066795,-75.838005,107.30546,86.29485,49.376736,5.5320406,33.90539,14.354154,18.613302,9.089977,15.613957,4.501273,18.637936,-9.090062,12.085763,1.8506627,13.486917,-11.111278,11.719914,-2.633936,11.988391,-5.8183556,10.89338,-2.9027407,11.842888,-5.872864,10.412054
Detroit Rock City,Smashes Thrashes & Hits,KISS,1/1/1988,228560,54,0.00891,0.479,0.847,0.000208,0.144,-11.036,0.0986,90.654,0.318,4,0,0,spotify:track:3uz0O62HqYoyRiWZjS61KK,1988,0.5287447,0.34721497,0.392067,0.4686419,0.48472875,0.534984,0.42542514,0.50778824,0.39217374,0.38257316,0.4521584,0.3800473,0.31896177,0.21654114,0.25829038,0.28207922,0.26552048,0.32714278,0.2393601,0.31397748,0.25279364,0.23816033,0.29470998,0.22105625,8.421471,57.45082,67.66824,27.409111,3.271489,24.057589,27.150705,12.76183,-3.1188264,10.832084,10.042801,7.9513574,-0.35901114,9.527556,3.2352347,8.164094,-1.8937522,7.4435983,2.7204242,7.0499635,-1.6270734,6.5288515,4.0715094,6.6784253,-2.0391512,6.3227816
Devil by the Window,The Name Chapter: TEMPTATION,TOMORROW X TOGETHER,1/27/2023,186471,63,0.0592,0.536,0.596,6.6e-06,0.116,-5.799,0.0984,133.995,0.643,4,6,0,spotify:track:53H3sGmqiXWO4MwuZAJfyn,2023,0.3748487,0.444115,0.3527657,0.29072213,0.34559074,0.36189982,0.4490201,0.42529914,0.49785927,0.5081699,0.39450297,0.4031519,0.28804722,0.34149674,0.29091096,0.24752988,0.30035114,0.2839162,0.32560992,0.3042153,0.33769548,0.35780603,0.28861487,0.33400735,-53.84603,98.96561,61.148598,35.139957,9.424148,26.380142,17.604435,21.906673,7.97625,15.690852,5.614827,15.667551,-1.8565465,13.910403,0.5325381,14.814084,-3.11319,11.764265,6.7149477,11.62015,-2.6523316,11.570271,-1.9920837,10.985528,-7.222904,10.326365
dirty dancer,dirty dancer,Orion Sun,2/8/2022,169720,65,0.376,0.702,0.525,0.0667,0.119,-5.028,0.0313,113.856,0.515,4,7,0,spotify:track:1ciQU7ZQGHq129m3njp9en,2022,0.3215636,0.27765715,0.46059614,0.34011716,0.26261565,0.38930604,0.28473374,0.37362468,0.26633537,0.4348964,0.4514148,0.30230004,0.3161839,0.25596294,0.33960322,0.2980897,0.23890395,0.34748554,0.22670594,0.33626196,0.19883205,0.31499487,0.32582194,0.2521681,-103.629326,99.25028,130.53784,46.642372,5.269974,21.676895,13.499173,16.760109,11.1206875,13.139553,7.4301825,12.799374,0.11498389,11.112274,-5.2592597,12.262961,0.9614314,9.40357,2.0904813,11.4829855,-9.297637,10.351997,0.63109064,8.584576,-7.536579,9.493729
